indicator,count,coverage_pct,used_in_score_now,used_in_score_or_fallback,used_in_confidence,used_any_calculation
amphibia_observations,22199,100.0,False,False,False,False
annual_forest_loss_rate,22199,100.0,True,True,True,True
aves_observations,22199,100.0,False,False,False,False
drought_risk,18905,85.16,True,True,True,True
early_forest_loss_rate,22199,100.0,False,False,False,False
elevation_range,22179,99.91,True,True,True,True
elevation_std,22179,99.91,True,True,True,True
es_cultural_value,10271,46.27,True,True,True,True
es_regulating_value,7894,35.56,False,False,True,True
es_value_per_ha_yr,9104,41.01,True,True,True,True
esvd_study_count,9104,41.01,False,False,False,False
flood_risk,18905,85.16,True,True,True,True
forest_cover_2000_pct,22199,100.0,False,True,True,True
forest_gain_pct,22199,100.0,True,True,True,True
forest_loss_acceleration,22199,100.0,False,False,False,False
forest_loss_pct,22199,100.0,True,True,True,True
groundwater_decline,18905,85.16,True,True,True,True
interannual_variability,18905,85.16,False,False,False,False
land_cover_diversity,22199,100.0,True,True,True,True
largest_patch_index,22199,100.0,True,True,True,True
lc_bare_pct,22199,100.0,False,False,False,False
lc_builtup_pct,22199,100.0,True,True,True,True
lc_class_count,22199,100.0,False,False,False,False
lc_cropland_pct,22199,100.0,False,False,False,False
lc_grassland_pct,22199,100.0,False,False,False,False
lc_mangroves_pct,22199,100.0,False,False,False,False
lc_moss_lichen_pct,22199,100.0,False,False,False,False
lc_shrubland_pct,22199,100.0,False,False,False,False
lc_snow_ice_pct,22199,100.0,False,False,False,False
lc_tree_cover_pct,22199,100.0,True,True,True,True
lc_water_pct,22199,100.0,False,False,False,False
lc_wetland_pct,22199,100.0,False,False,False,False
magnoliopsida_observations,22199,100.0,False,False,False,False
mammalia_observations,22199,100.0,False,False,False,False
max_elevation,22179,99.91,False,False,False,False
max_pop_density,10869,48.96,False,False,False,False
mean_elevation,22179,99.91,False,False,False,False
mean_ghm_agriculture,22197,99.99,False,False,False,False
mean_ghm_builtup,22197,99.99,False,True,False,True
mean_ghm_overall,22197,99.99,True,True,True,True
mean_ghm_transport,22197,99.99,False,False,False,False
mean_ndvi,18732,84.38,True,True,True,True
mean_pop_density,10869,48.96,True,True,True,True
mean_road_density,22199,100.0,True,True,True,True
min_elevation,22179,99.91,False,False,False,False
msa_max,22196,99.99,False,False,False,False
msa_mean,22196,99.99,True,True,True,True
msa_min,22196,99.99,False,False,False,False
msa_std,22196,99.99,False,False,False,False
natural_cover_pct,22199,100.0,False,False,False,False
ndvi_seasonal_cv,18722,84.34,True,True,True,True
observation_density,22199,100.0,False,False,True,True
pa_area_sqkm,1014,4.57,False,False,False,False
pa_community_coverage_pct,22199,100.0,True,True,True,True
pa_count,22199,100.0,False,False,False,False
pa_coverage_pct,22199,100.0,True,True,True,True
pa_weighted_score,22199,100.0,False,False,False,False
recent_forest_loss_rate,22199,100.0,False,False,False,False
reptilia_observations,22199,100.0,False,False,False,False
seasonal_variability,18905,85.16,True,True,True,True
slope_max,22199,100.0,False,False,False,False
slope_mean,22199,100.0,False,True,False,True
species_richness,22199,100.0,True,True,True,True
threatened_species_count,22199,100.0,True,True,True,True
total_population,10869,48.96,False,False,False,False
water_depletion,18905,85.16,False,False,False,False
water_stress,18905,85.16,True,True,True,True
